id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class,descriptions
172,atm 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Atm 500 MG Description

 It contains azithromycin as its active ingredient. This medicine should be taken as directed by the doctor and in doses and duration as prescribed. It can be taken with or without food.19 May 2022"
173,assurans tablet,Sildaflow 20mg Tablet,Pulmoday 20mg Tablet,PAH 20 Tablet,Esylnafil 20mg Tablet,Penegra Pah Tablet,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Stiffness,Nosebleeds,Blurred vision,Indigestion,Muscle pain,Upset stomach,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Erectile dysfunction,,,,,Benzenesulfonamide Derivative,No,SEX STIMULANTS REJUVENATORS,Phosphodiesterase-V inhibitors,ASSURANS TABLET contains Sildenafil which belongs to the group of medicines called Phosphodiesterase type 5 (PDE 5) inhibitors. It is used for pulmonary arterial hypertension (PAH) in adults and children.29 Nov 2023
174,ambrolite d syrup,Respicure-D Syrup,Chericof Syrup,Respicure-D Syrup,Ataqued Syrup,Ascoril D Junior Cough Syrup,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,,"Ambrolite D Syrup is a combination of three medicines: Phenylephrine, Chlorpheniramine Maleate, and Dextromethorphan Hydrobromide. Phenylephrine is a decongestant which narrows the small blood vessels providing relief from congestion or stuffiness in the nose.23 Jan 2024"
175,actrapid hm 100iu/ml penfill,Wosulin-R DispoPen,Lupisulin R 100IU/ml Cartridge,Insuman Rapid 100IU/ml Solution for Injection,Actrapid 100IU/ml Solution for Injection,Huminsulin R 100IU Cartridge,Hypoglycemia (low blood glucose level),Weight gain,Edema (swelling),"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Diabetes,,,,,Insulin analogue,No,ANTI DIABETIC,Human insulin-  short acting,"Actrapid Hm 100Iu/ml Penfill 3 ml is a hormone known as 'insulin' made in your pancreas, which helps your body utilize glucose (sugar) for energy. Human insulin is the name which describes synthetic insulin, which is laboratory grown to mimic the insulin in humans."
176,aten 50 tablet,Ziblok 50 Tablet,Ozoten 50mg Tablet,Hipres 50 Tablet,Obeta 50mg Tablet,Anol 50mg Tablet,Cold extremities,Fatigue,Slow heart rate,Nausea,Diarrhea,Dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,Synthetic isopropylamino propanol derivative,No,CARDIAC,Beta blocker- Cardioselective,"ATEN 50MG TABLET contains Atenolol, which belongs to the group of medicines called Beta-blockers. It is used to treat high blood pressure and arrhythmias (uneven heart beats). It can also be used to prevent angina (chest pain) and protect the heart in the initial treatment after a heart attack.8 Oct 2022"
177,azmarda 100mg tablet,Sacutan 100 Tablet,Sacurise 100 Tablet,Arney 100 Tablet,Arnicor 100 Tablet,Sacumada 100 Tablet,Dizziness,Increased potassium level in blood,Fatigue,Hypotension (low blood pressure),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Heart failure,,,,,,No,CARDIAC,,Azmarda 100mg Tablet is a combination of two medicines: Sacubitril and Valsartan which belong to a class of angiotensin receptor neprilysin inhibitor (ARNI). This combination treats heart failure by relaxing the blood vessels and making it easier for your heart to pump blood throughout your body.18 Dec 2023
178,asthalin ax syrup,Solvin LS Syrup,Ambrodil-LX Syrup,Zerotuss XP Syrup,Capex LS Syrup,Broxum LS Syrup,Nausea,Vomiting,Diarrhea,Upset stomach,Stomach pain,Allergic reaction,Dizziness,Headache,Rash,Hives,Tremors,Palpitations,Muscle cramp,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Cough with mucus,,,,,,No,RESPIRATORY,,"Asthalin AX Syrup is a combination of three medicines: Ambroxol, Levosalbutamol / Levalbuterol, Guaifenesin. It is used in the treatment of cough with mucus. Ambroxol is a mucolytic. It thins and loosens the mucus (phlegm) which makes it easier to cough out.29 Nov 2023"
179,alzolam 0.5mg tablet,Alprasafe 0.5mg Tablet,Alparazole 0.5mg Tablet,Alprazol 0.5mg Tablet,Texidep 0.5mg Tablet,Zolipax 0.5mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines,"Alzolam 0.5 Tablet: View Uses, Side Effects, Price and Substitutes"
180,a kare combipack,Mifeprin 200 mg/200 mcg Kit,Mifebax Kit,Contra Kit,Herwont Kit,Insta Kit,Nausea,Vomiting,Diarrhea,Stomach cramp,Uterine contractions,Menorrhagia (heavy menstrual bleeding),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Medical abortion,,,,,,No,GYNAECOLOGICAL,,"A Kare Combipack is a combination of two medicines: Mifepristone and Misoprostol, which causes abortion. Mifepristone blocks the effects of progesterone, a natural female hormone that is needed for the pregnancy to sustain.6 Dec 2023"
181,ambulax tablet,Alltop P 0.25mg/20mg Tablet,Cardilax 0.25mg/20mg Tablet,Beloc Plus 0.25mg/20mg Tablet,Proprazolam 0.25 mg/20 mg Tablet,Zepro 0.25mg/20mg Tablet,Confusion,Drowsiness,Memory impairment,Slow heart rate,Tiredness,Uncoordinated body movements,Nightmares,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Anxiety disorder,,,,,,Yes,NEURO CNS,,"Ambulax Tablet is a combination of two medicines: Alprazolam and Propranolol. Alprazolam is a benzodiazepine. It works by increasing the action of GABA, a chemical messenger which suppresses the abnormal and excessive activity of the nerve cells in brain.6 Dec 2023"
182,amlovas-at tablet,Biopress AM Tablet,Lupidip-A Tablet,Amlip AT Tablet,Amdepin-AT Tablet,Check AT Tablet,Sleepiness,Headache,Ankle swelling,"Flushing (sense of warmth in the face, ears, neck and trunk)",Slow heart rate,Palpitations,Nausea,Edema (swelling),Constipation,Tiredness,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),,,,,,No,CARDIAC,,Amlovas AT Tablet 15's contains Amlodipine (a calcium channel blocker) and Atenolol (a beta-blocker). Amlodipine acts by relaxing and widening the constricted blood vessels. This ultimately reduces the heart's workload and makes the heart more efficient at pumping blood throughout the body.
183,asthakind-dx junior syrup cherry,Cozymin-DX Junior RF Syrup,Chericof Junior Syrup,Agelite-D Junior Syrup,,,Nausea,Vomiting,Loss of appetite,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry cough,,,,,,No,RESPIRATORY,,"Asthakind-DX Junior Syrup Cherry: View Uses, Side Effects ... - 1mg"
184,advent 228.5mg dry syrup,Sarimox-CV Dry Syrup,August Dry Syrup,Oximox XL Dry Syrup,Augwin Dry Syrup,Lymonk CV Dry Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,,"Advent 228.5mg Dry Syrup: View Uses, Side Effects, Price ... - 1mg"
185,acivir 800 dt tablet,DavaIndia Acyclovir 800mg Tablet DT,Ospivir Tablet DT,HERPESAFE 800MG TABLET DT,Clovirax 800mg Tablet DT,Avir 800mg Tablet DT,Headache,Dizziness,Vomiting,Nausea,Fatigue,Fever,Stomach pain,Diarrhea,Skin rash,Photophobia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Herpes Simplex Virus Infections, Chickenpox, Herpes labialis, Shingles, Genital herpes infection,Nucleoside analog,No,ANTI INFECTIVES,Antiviral (Non-HIV) drugs,"Acivir 800 DT Tablet: View Uses, Side Effects, Price and Substitutes"
186,alfusin tablet pr,DavaIndia Alfuzosin 10mg Tablet PR,Alfucal 10mg Tablet PR,Alfugress Tablet PR,Emzosin Tablet PR,Zyalfa Tablet PR,Upper respiratory tract infection,Dizziness,Headache,Nausea,Abdominal pain,Impotence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Benign prostatic hyperplasia,,,,,Quinazoline Derivative,No,UROLOGY,Uroselective adrenergic receptor(α1a) antagonist,ALFUSIN 10MG TABLET contains Alfuzosin which belongs to the group of medicines called Alpha-1-blockers. It is used to provide relief from moderate to severe symptoms of benign prostatic hyperplasia in affected individuals.26 Feb 2024
187,aziwok 500 tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Cazithro 500mg Tablet,Trulimax 500mg Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Aziwok 500 Tablet: View Uses, Side Effects, Price and Substitutes"
188,alkacitral liquid,Nisalka 1.25gm/5ml Syrup,Dicital 1.25gm Syrup,Citalka 1.25gm/5ml Syrup,Alkadin 1.25gm Syrup,Tradium Syrup,Stomach pain,Tiredness,Diarrhea,Nausea,Vomiting,Frequent urge to urinate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Gout,Treatment of Kidney stone,,,,Carboxylic acid derivative,No,UROLOGY,Uricosuric agent-gout,Alkacitral syrup is a urinary alkaliser used for treating gout and certain kidney stones. It contains disodium hydrogen citrate as the active substance. This syrup alkalizes urine by increasing its pH. This increases the solubility of uric acid and removes it from the body through urine.14 Jul 2023
189,almox-cv 625 tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,,"Almox-CV 625 Tablet contains two medicines, Amoxycillin and Clavulanic Acid, that work together to kill the bacteria that cause infections. Amoxycillin works by stopping the growth of bacteria. Clavulanic Acid reduces resistance and enhances the activity of Amoxycillin against bacteria.19 Feb 2024"
190,azithral 100 liquid,AZ3 100 Liquid,,,,,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"AZITHRAL 100MG LIQUID contains Azithromycin which belongs to the group of medicines called Macrolides. It is used in children to treat infections caused by bacteria and other micro-organisms which include chest, throat, and nasal infections such as bronchitis, pneumonia, tonsillitis, sore throat and sinusitis.19 Oct 2022"
191,azee 100mg dry syrup peppermint,Azicor 100mg/5ml Suspension,Corzi 100mg/5ml Suspension,Azitras 100mg/5ml Suspension,Zithrolect 100mg/5ml Suspension,Aziagio 100mg/5ml Suspension,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Azee 100mg Dry Syrup Peppermint: View Uses, Side Effects ... - 1mg"
192,ace-proxyvon cr tablet,,,,,,Nausea,Flatulence,Indigestion,Diarrhea,Constipation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Ace-Proxyvon CR Tablet is a combination of two medicines: Aceclofenac and Rabeprazole, which relieves pain. Aceclofenac is a non-steroidal anti-inflammatory drug (NSAID) which works by blocking the release of certain chemical messengers that cause pain and inflammation (redness and swelling).15 Dec 2023"
193,ascoril c  syrup,Cosome Lcd 4 mg/10 mg Syrup,Histolate Syrup,Codine  4 mg/10 mg Syrup,Indikof C Syrup,Comtus DX Syrup,Nausea,Vomiting,Constipation,Sleepiness,Lightheadedness,Dizziness,Breathlessness,Sweating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dry cough,,,,,,Yes,RESPIRATORY,,ASCORIL C BIG is a combination of Chlorpheniramine and Codeine. Chlorpheniramine belongs to antihistamine blocks the action of histamine which triggers cough. Codeine belongs to cough suppressant that blocks the action of cough centre in the brain and relieves cough.12 Feb 2024
194,aprezo 30mg tablet,Apremist 30mg Tablet,Aplex 30mg Tablet,Aprotyl 30mg Tablet,Mprila Tablet,Pdlast Tablet,Diarrhea,Nausea,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Plaque psoriasis,,,,,Isoindole Derivative,No,PAIN ANALGESICS,Phosphodiesterase-IV inhibitors (PsA & PSO),"Aprezo 30mg Tablet: View Uses, Side Effects, Price and Substitutes"
195,apidra 100iu cartridge,Apidra 100IU/ml Solution for Injection,,,,,Hypoglycemia (low blood glucose level),Nasopharyngitis (inflammation of the throat and nasal passages),Upper respiratory tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Diabetes,,,,,Insulin analogue,No,ANTI DIABETIC,Insulin analogues- rapid acting,The active ingredient in Apidra 100IU Cartridge 3 ml is insulin glulisine. Apidra 100IU Cartridge 3 ml is a recombinant human insulin analogue that is equipotent to regular human insulin. Insulin glulisine has a more rapid onset of action and a shorter duration of action than regular human insulin.
196,amlosafe 3d tablet,Telmiride Amh Tablet,Telmikaa AMH Tablet,Amodep-TMH Tablet,Telmikind-AMH Tablet,Telvas 3D Tablet,Ankle swelling,Dizziness,Nausea,Peripheral edema,Mood changes,Visual disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,No,CARDIAC,,"Amlosafe 3D Tablet is a combination of three medicines: Telmisartan, Amlodipine and Hydrochlorothiazide. Telmisartan is an angiotensin receptor blocker (ARB) and Amlodipine is a calcium channel blocker (CCB). They work by widening and relaxing the blood vessels, thereby lowering blood pressure.29 Nov 2023"
197,andial 2mg tablet,Tropamide 2mg Tablet,Lopramide 2mg Tablet,Lopidus Tablet,Lopipen 2mg Tablet,Rokamide 2mg Tablet,Constipation,Nausea,Headache,Stomach pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Diarrhea,,,,,Phenylpiperidine Derivative,No,GASTRO INTESTINAL,Opioid Agonist- Antidiarrheal,"Andial 2mg tablet contains loperamide, an antidiarrhoeal medicine. It decreases the frequency of stools. It is not suitable for all types of diarrhoea. Stop taking it once you get relief from diarrhoea.4 May 2023"
198,acenext p 100mg/325mg tablet,Dolostat PC 100 mg/325 mg Tablet,Acimol 100 mg/325 mg Tablet,Topnac P Tablet,Arflur-P Tablet,Ark-AP Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,,"Acenext P 100mg/325mg Tablet is a combination of two medicines: Aceclofenac and Paracetamol. These medicines work by blocking the action of chemical messengers responsible for pain, fever and inflammation (redness and swelling).29 Nov 2023"
199,acnesol a nano gel,Alight Plus Gel 15gm for Acne Treatment,Nayzit Gel,Cutiwel Gel,Nioclean AD Gel,Acnicin Gel,Skin peeling,Erythema (skin redness),Itching,Dry skin,Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,No,DERMA,,"Acnesol A Nano Gel is a combination of two medicines: Adapalene and Clindamycin, which treats pimples (acne).7 Mar 2024"
200,ascoril flu syrup,Histacare Syrup,Zincold PD Syrup,Noblok-AF Syrup,Welminic Syrup Gluten Free,Solvin Cold AF Syrup,Vomiting,Headache,Restlessness,Anxiety,Dizziness,Tremors,Pale skin,High blood pressure,Seizure,Cerebral hemorrhage,Palpitations,Paresthesia (tingling or pricking sensation),Abdominal pain,Allergic reaction,Decreased appetite,Blurred vision,Dry nose,Dry throat,Excitement,Rash,,,,,,,,,,,,,,,,,,,,,,,Treatment of Common cold,,,,,,No,RESPIRATORY,,The active ingredients of Ascoril Flu Syrup 60ml are Chlorpheniramine Maleate 2mg and Phenylephrine 5mg/5ml.
201,asomex 2.5 tablet,S-Amcard 2.5 Tablet,Amlocard-S 2.5 Tablet,Big Dvr 2.5mg Tablet,Amlovas S 2.5mg Tablet,S-Amleod 2.5 Tablet,Ankle swelling,Dizziness,Fatigue,"Flushing (sense of warmth in the face, ears, neck and trunk)",Headache,Palpitations,Abdominal pain,Muscle cramp,Nausea,Sleepiness,Visual disturbance,Dyspepsia,Breathlessness,Change in bowel habits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),Prevention of Heart attack,Prevention of Stroke,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP),"Asomex AT 2.5 mg tablet contains S-Amlodipine, which belongs to the class of medications known as calcium channel blockers. It works by regulating the blood pressure by relaxing blood vessels and norm. This reduces the pressure on blood vessels and allows the blood to flow easily throughout the body.21 Apr 2022"
202,angiplat 2.5 capsule tr,Angistat 2.5 Capsule TR,Vasovin - XL 2.5 Capsule,Angispan - TR 2.5mg Capsule,,,Blurred vision,Decreased blood pressure,Dizziness,Headache,Increased heart rate,Lightheadedness,Paresthesia (tingling or pricking sensation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Angina (heart-related chest pain),,,,,Nitrates {Short acting},No,CARDIAC,NO Donors,"Angiplat 2.5 Capsule TR: View Uses, Side Effects, Price and ... - 1mg"
203,alkof cofgel  tablet,Cofcad DL Tablet,Mericof Tablet,Coughrest Tablet,,,Nausea,Diarrhea,Stomach pain,Indigestion,Upset stomach,Vomiting,Bloating,Dizziness,Headache,Rash,Hives,Sweating,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dry cough,,,,,,No,RESPIRATORY,,"Alkof Cofgels Capsule contains guaifenesin, bromhexine, and dextromethorphan. Guaifenesin is an expectorant that helps to remove mucus (phlegm) from the airways by reducing its stickiness. Bromhexine is a mucolytic, meaning it thins and loosens mucus (phlegm) to make coughing easier.9 Feb 2023"
204,azithral 250mg dt tablet,3A 250mg Tablet DT,Elzee 250mg Tablet DT,Azilide 250mg Tablet DT,Azix 250mg Tablet DT,Azbact 250mg Tablet DT,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides,"Azithral 250mg DT Tablet: View Uses, Side Effects, Price and ... - 1mg"
205,alzolam 0.25mg tablet,Alltop 0.25mg Tablet,Alprasafe 0.25mg Tablet,Nindra 0.25mg Tablet,Alora 0.25mg Tablet,Exal 0.25mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines,"Alzolam 0.25 Tablet: View Uses, Side Effects, Price and Substitutes"
206,advent 625 tablet,Penciclav 500 mg/125 mg Tablet,Moxikind-CV 625 Tablet,Moxiforce-CV 625 Tablet,Fightox 625 Tablet,Novamox CV 625mg Tablet,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,,"Advent 625 Tablet contains two medicines, Amoxycillin and Clavulanic Acid, that work together to kill the bacteria that cause infections. Amoxycillin works by stopping the growth of bacteria. Clavulanic Acid reduces resistance and enhances the activity of Amoxycillin against bacteria.29 Nov 2023"
207,alsita m 50mg/500mg tablet,Istamet 50mg/500mg Tablet,Sitanorm M 50mg/500mg Tablet,Sitara-M IR 50/500 Tablet,Sitaglyn M IR 50/500 Tablet,Sitenali M 50mg/500mg Tablet,Hypoglycemia (low blood glucose level),Nausea,Vomiting,Diarrhea,Decreased appetite,Abdominal bloating,Upper respiratory tract infection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,,"ALSITA M 50/500 Tablet 10's - Price, Uses, Side Effects | Netmeds"
208,axogurd-sr tablet,Mahagaba-M OD Tablet SR,Nervijen-P SR Tablet,Axinerve-P Tablet SR,Gabasafe Plus  SR 75 Tablet,Revlin M Tablet SR,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,No,NEURO CNS,,"Axogurd-SR Tablet is a combination of two medicines: Methylcobalamin and Pregabalin. Methylcobalamin is a form of vitamin B which helps in the production of myelin, a substance that protects nerve fibers and rejuvenates damaged nerve cells.13 Feb 2024"
209,azoflox uti tablet,Uribolt-O Tablet,Urisort O 200mg/200mg Tablet,Contixate O 200mg/200mg Tablet,Flavrow-O Tablet,Incio-FX Tablet,Nausea,Vomiting,Stomach pain,Dizziness,Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Urinary tract infections (UTIs),,,,,,No,ANTI INFECTIVES,,"Azoflox UTI Tablet: View Uses, Side Effects, Price and Substitutes"
