id,name,substitute0,substitute1,substitute2,substitute3,substitute4,sideEffect0,sideEffect1,sideEffect2,sideEffect3,sideEffect4,sideEffect5,sideEffect6,sideEffect7,sideEffect8,sideEffect9,sideEffect10,sideEffect11,sideEffect12,sideEffect13,sideEffect14,sideEffect15,sideEffect16,sideEffect17,sideEffect18,sideEffect19,sideEffect20,sideEffect21,sideEffect22,sideEffect23,sideEffect24,sideEffect25,sideEffect26,sideEffect27,sideEffect28,sideEffect29,sideEffect30,sideEffect31,sideEffect32,sideEffect33,sideEffect34,sideEffect35,sideEffect36,sideEffect37,sideEffect38,sideEffect39,sideEffect40,sideEffect41,use0,use1,use2,use3,use4,Chemical Class,Habit Forming,Therapeutic Class,Action Class
3288,azimax 100mg tablet dt,Azita 100mg Tablet DT,Servazith 100mg Tablet DT,Ecothral 100mg Tablet DT,Azitru 100mg Tablet DT,Zithrocin 100mg Tablet DT,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3289,amtas prp tablet,Cardiomart AP 5mg/4mg Tablet,Rindopril AM Tablet,Perindosyl AM 5mg/4mg Tablet,Coversyl-AM 4/5 Tablet,,Ankle swelling,Headache,Tiredness,Palpitations,Increased potassium level in blood,Sleepiness,Cough,Taste change,"Flushing (sense of warmth in the face, ears, neck and trunk)",Decreased blood pressure,Upset stomach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure),,,,,,No,CARDIAC,
3290,amloz 2.5 tablet,Ampine 2.5mg Tablet,Amcard 2.5 Tablet,Amlokind 2.5 Tablet,Amlip 2.5 Tablet,Amlong 2.5 Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP)
3291,aneket 50mg injection,Ketolide 50mg Injection,Kmin 50mg Injection,Keta V 50mg Injection,GB-Ket 50mg Injection,Ketanik 50mg Injection,Rash,Erythema (skin redness),Vomiting,Nausea,Agitation,Nightmares,Abnormal behavior,Double vision,Hallucination,Increased respiratory rate ,High blood pressure,Confusion,Nystagmus (involuntary eye movement),Muscle coordination impaired,Tonic-clonic seizures,Tachycardia,,,,,,,,,,,,,,,,,,,,,,,,,,, General Anaesthesia,,,,,Cyclohexanone derivative,No,PAIN ANALGESICS,General anaesthetic agents
3292,azaprin tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea,Infection,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,Treatment of Rheumatoid arthritis,,,,"Nucleoside Analog, and Purines",No,ANTI NEOPLASTICS,Immunosuppressant- Purine analogs
3293,amilip 5mg tablet,Amset 5mg Tablet,Amlip 5 Tablet,Avacard 5mg Tablet,Amcard 5 Tablet,Amlong Tablet,Headache,Fatigue,Nausea,Abdominal pain,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Prevention of Angina (heart-related chest pain),,,,Dihydropyridinecarboxylic acids derivatives,No,CARDIAC,Calcium channel blockers- Dihydropyridines (DHP)
3294,arophyll-m tablet sr,Venphylin-M Tablet SR,Muciday Tablet SR,Acebrofact-M Tablet SR,Oxybro Plus Tablet SR,Acphy M 200mg/10mg Tablet SR,Vomiting,Heartburn,Stomach pain,Rash,Itching,Hives,Drowsiness,Breathing problems,Increased white blood cell count,Nasal inflammation,Flu-like symptoms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment and prevention of Chronic obstructive pulmonary disease (COPD),Treatment of Sneezing and runny nose due to allergies,,,,,No,RESPIRATORY,
3295,awarene t pf eye drop,Lupitros-T Eye Drop,Gluend Eye Drop,Travosun T Eye Drop,Travoflo T Eye Drop,New Travisight-T Eye Drop,Stinging sensation,Eye irritation,Burning sensation,Blurred vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Glaucoma,Treatment of Ocular hypertension,,,,,No,OPHTHAL,
3296,adilan 10 tablet,BIOSOX 10MG TABLET,Duvabel 10mg Tablet,Issue 10mg Tablet,Isolan 10mg Tablet,X-Ride 10mg Tablet,Dizziness,Palpitations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Premature Labor,Treatment of Peripheral vascular disease,,,,Phenylpropane Derivative,No,GYNAECOLOGICAL,Beta 2 agonist - Uterus
3297,azure 500mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3298,allergica 180mg tablet,Lcfex 180 Tablet,Fexofen 180mg Tablet,Histafree 180 Tablet,Vilofex 180 Tablet,Fexert 180mg Tablet,Headache,Drowsiness,Dizziness,Nausea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Allergic conditions,,,,Diphenylmethane Derivative,No,RESPIRATORY,H1 Antihistaminics (second Generation)
3299,alidil m 5 mg/10 mg tablet,Montina-L Tablet,Lecope-M Tablet,Monticope Tablet,Levocet M Tablet,Ronycold-M Tablet,Nausea,Diarrhea,Dryness in mouth,Fatigue,Headache,Skin rash,Sleepiness,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Sneezing and runny nose due to allergies,Treatment of Hay fever,Treatment of Allergic skin conditions,,,,No,RESPIRATORY,
3300,acdap duo gel,Pernex-Plus Gel,Adapure Gel,Proxaid Gel,Abzit Gel,Acrobenz A Gel,Erythema (skin redness),Burning sensation,Scaling,Stinging sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Acne,,,,,,No,DERMA,
3301,acemax p tablet,Temfix Ace Tablet,Deck P Tablet,Faithflam Plus Tablet,Achnil P Tablet,Volent P Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
3302,aceezone p tablet,Acimol MR 100mg/325mg/250mg Tablet,Kapinac CZ Tablet,Zoceclo MR 100mg/325mg/250mg Tablet,Acelyn MR 100mg/325mg/250mg Tablet,Lyfenac-MR Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
3303,amipox-h tablet,Trixide-H Tablet,Emotrip 12.5 mg/5 mg Tablet,Trixide 12.5 mg/5 mg Tablet,Kimitrip 12.5mg/5mg Tablet,Mytrip H 12.5mg/5mg Tablet,Constipation,Difficulty in urination,Weight gain,Confusion,Orthostatic hypotension (sudden lowering of blood pressure on standing),Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Uncoordinated body movements,Depression,Memory impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Depression,,,,,,Yes,NEURO CNS,
3304,acegaba me 300mg/500mcg tablet,Gabanyl 300mg/500mcg Tablet,Novonerve-G Tablet,Miol G 300 mg/500 mcg Tablet,Gbm Tablet,Mecofort G Tablet,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,No,NEURO CNS,
3305,aclomet-xl 25 tablet,Yogaprol 25 Tablet ER,Betaone-XL 25 Tablet,Metomac 25 Tablet ER,Bloxil 23.75mg Tablet ER,Metoaltus 25mg Tablet ER,Fatigue,Headache,Slow heart rate,Dizziness,Nausea,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Hypertension (high blood pressure),Treatment of Angina (heart-related chest pain),Treatment of Arrhythmia,Prevention of Heart attack,Prevention of Migraine,Alcohol & phenols,No,CARDIAC,Beta blocker- Cardioselective
3306,amitril plus 12.5 mg/5 mg tablet,Trixide-H Tablet,Emotrip 12.5 mg/5 mg Tablet,Trixide 12.5 mg/5 mg Tablet,Kimitrip 12.5mg/5mg Tablet,Mytrip H 12.5mg/5mg Tablet,Constipation,Difficulty in urination,Weight gain,Confusion,Orthostatic hypotension (sudden lowering of blood pressure on standing),Tiredness,Blurred vision,Dryness in mouth,Increased heart rate,Uncoordinated body movements,Depression,Memory impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Depression,,,,,,Yes,NEURO CNS,
3307,antigrain tablet,Neuromol Plus Tablet,NT Grain Tablet,Mygrain Tablet,E Grain Tablet,Livigrain Tablet,Sedation,Orthostatic hypotension (sudden lowering of blood pressure on standing),Drowsiness,Urinary retention,Dryness in mouth,Increased heart rate,Constipation,Muscle pain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Migraine,,,,,,No,NEURO CNS,
3308,anafortan ds   50 mg/500 mg tablet,,,,,,Dryness in mouth,Constipation,Blurred vision,Increased heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Abdominal pain,,,,,,No,GASTRO INTESTINAL,
3309,appamide plus eye drop,Neotrop Plus Eye Drop,Troplus Eye Drop,Dilate Plus Eye Drop,TM Plus Eye Drop,Biodyle TP Eye Drop,Eye pain,Stinging in the eyes,Blurred vision,Photophobia,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Eye examination,,,,,,No,OPHTHAL,
3310,ambulax-et tablet,Etidac P 0.5mg/20mg Tablet,Etipro Tablet,Etilax P 0.5mg/20mg Tablet,Ritebenz Beta 0.5mg/20mg Tablet,Betapro-ET Tablet,Confusion,Memory impairment,Drowsiness,Slow heart rate,Tiredness,Uncoordinated body movements,Nightmares,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety disorder,,,,,,No,NEURO CNS,
3311,acebrofact lm tablet,Sebro LM 10mg/5mg/200mg Tablet,Kcet AB 10mg/5mg/200mg Tablet,Respiz Plus 10mg/5mg/200mg Tablet,Thiotrac Plus 10mg/5mg/200mg Tablet,Coekastle-A Tablet,Nausea,Vomiting,Diarrhea,Skin rash,Flu-like symptoms,Dryness in mouth,Headache,Fatigue,Sleepiness,Rash,Hives,Itching,Breathing problems,Increased white blood cell count,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Asthma,,,,,,No,RESPIRATORY,
3312,azobat 500mg tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Azee 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3313,alfuflo 10mg tablet er,Alfutag 10mg Tablet ER,Alfuzin 10mg Tablet ER,Alosin 10mg Tablet ER,Alfucare 10 Tablet ER,Alfurag Tablet ER,Upper respiratory tract infection,Dizziness,Headache,Nausea,Abdominal pain,Impotence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Benign prostatic hyperplasia,,,,,Quinazoline Derivative,No,UROLOGY,Uroselective adrenergic receptor(α1a) antagonist
3314,aclodoc pmr 100mg/325mg/250mg tablet,Acimol MR 100mg/325mg/250mg Tablet,Tracepar-MR Tablet,Acelyn MR 100mg/325mg/250mg Tablet,Endonac CX  Tablet,Dolokind-MR  Tablet,Nausea,Vomiting,Heartburn,Stomach pain,Diarrhea,Loss of appetite,Tiredness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Muscular pain,,,,,,No,PAIN ANALGESICS,
3315,alerid-d syrup,,,,,,Nausea,Fatigue,Dizziness,Dryness in mouth,Sleepiness,High blood pressure,Insomnia (difficulty in sleeping),Palpitations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Common cold,,,,,,No,RESPIRATORY,
3316,alphadopa l tablet,Evabet 100mg Tablet,Lablol 100mg Tablet,Culol Tablet,Lopih 100mg Tablet,Lexol 100mg Tablet,Fatigue,Nausea,Dizziness,Nasal congestion (stuffy nose),Ejaculation disorder,Breathlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hypertension (high blood pressure), Angina (heart-related chest pain), Prevention of heart attack and stroke,,,Salicylamide derivative,No,CARDIAC,Alpha & beta blocker
3317,afitra 100 capsule,Itralase 100 Capsule,Canditral 100 Capsule,Syntran Capsule,Itrafree 100mg Capsule,Itromed 100 Capsule,Nausea,Common cold,Cough,Blurred vision,Menstrual disorder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Fungal infections,,,,,Azoles {Triazoles},No,OPHTHAL,Fungal ergosterol synthesis inhibitor
3318,acnemute gel,Clinsol Gel,Acnetoin Gel,Clintok N Gel,Acnesol-NC Gel,Clindwin Gel,Skin peeling,Dry skin,Erythema (skin redness),Burning sensation at the site of application,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Acne,,,,,,No,DERMA,
3319,azital-lb 500 tablet,Thrimax 500 LB Tablet,Azirop-LB Tablet,Althral 500mg Tablet,Amozith 500 Tablet,Azifile LB 500mg Tablet,Diarrhea,Nausea,Abdominal pain,Vomiting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections,,,,,,No,ANTI INFECTIVES,
3320,amicet syrup,Leet AM Syrup,Kyvocet AM Syrup,Aleva A Syrup,Lecit-AM Syrup,Revlev AM Syrup,Upset stomach,Dryness in mouth,Headache,Fatigue,Sleepiness,Allergic reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Cough,,,,,,No,RESPIRATORY,
3321,amitril 25mg tablet,Amidep 25mg Tablet,Amitar 25mg Tablet,Trilin 25mg Tablet,Latilin 25mg Tablet,Amiford 25mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Dizziness,Headache,Decreased libido,Nausea,Fatigue,Confusion,Tremors,Speech disorder,Palpitations,Taste change,Paresthesia (tingling or pricking sensation),Abnormality of voluntary movements,Loss of accommodation,Atrioventricular block,Micturition disorders,Erectile dysfunction,Abnormal ECG,Decreased sodium level in blood,,,,,,,,,,,,,,,,,,Treatment of Depression, Neuropathic pain,Treatment of Migraine,,,Dibenzocycloheptenes Derivative,No,NEURO CNS,Tricyclic antidepressants
3322,algaba m 750mcg/75mg tablet,Neuray-M Tablet,Ogaba M 750mcg/75mg Tablet,Pregasel M 750mcg/75mg Tablet,Gecobal PG 750mcg/75mg Tablet,Homovas PG 750mcg/75mg Tablet,Dizziness,Sleepiness,Tiredness,Uncoordinated body movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Neuropathic pain,,,,,,No,NEURO CNS,
3323,atorem 20mg tablet,Atchol 20 Tablet,Lipikind 20 Tablet,Atorace 20 Tablet,Zivast 20 Tablet,Lipvas 20 Tablet,Dyspepsia,Abdominal pain,Indigestion,Diarrhea,Joint pain,Nasopharyngitis (inflammation of the throat and nasal passages),Nausea,Pain in extremities,Urinary tract infection,Abnormal liver function tests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, High cholesterol,Prevention of Heart attack,,,,Pyrrole & heptanoic acid derivative,No,CARDIAC,HMG CoA inhibitors (statins)
3324,azpar-sp tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
3325,amitax 250mg injection,Cachmik 250mg Injection,Amikas 250mg Injection,Amibiotic 250mg Injection,Amister 250mg Injection,Ivimicin 250mg Injection,Increased blood urea,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections,,,,,Aminoglycosides,No,OPHTHAL,Aminoglycosides
3326,alkof syrup,,,,,,Nausea,Vomiting,Upset stomach,Dryness in mouth,Headache,Fatigue,Dizziness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dry cough,,,,,,No,RESPIRATORY,
3327,aliclair 250mg tablet,Biomycin 250mg Tablet,C Cin 250mg Tablet,Clarigard  250 Tablet,Clarithro 250mg Tablet,Nuclar 250mg Tablet,Abdominal pain,Diarrhea,Headache,Nausea,Taste change,Vomiting,Indigestion,Rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3328,alkof syrup,,,,,,Nausea,Vomiting,Upset stomach,Dryness in mouth,Headache,Fatigue,Dizziness,Sleepiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Dry cough,,,,,,No,RESPIRATORY,
3329,amikamac 100mg injection,Mkcin 100mg Injection,Amcin 100mg Injection,Amikanex 100mg Injection,Mbkacin 100mg Injection,Megamika 100mg Injection,Increased blood urea,"Injection site reactions (pain, swelling, redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Bacterial infections,,,,,Aminoglycosides,No,OPHTHAL,Aminoglycosides
3330,acewin plus 100mg/500mg tablet,Xtra P 100 mg/500 mg Tablet,Jetace 100 mg/500 mg Tablet,Acebloc P 100 mg/500 mg Tablet,Icobit P 100 mg/500 mg Tablet,Aclomp P 100 mg/500 mg Tablet,Nausea,Vomiting,Stomach pain/epigastric pain,Loss of appetite,Heartburn,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
3331,ambulex m tablet,Anzal Plus -H 0.25mg/10mg Tablet,Tensyn AZ M 0.25 mg/10 mg Tablet,Biozolam Plus 0.25 mg/10 mg Tablet,Zepro 0.25mg/10mg Tablet,Tencalm LD LD Tablet,Confusion,Drowsiness,Memory impairment,Slow heart rate,Tiredness,Uncoordinated body movements,Nightmares,Cold extremities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Anxiety disorder,,,,,,Yes,NEURO CNS,
3332,affocal-ct softgel,Mitocal-CT Softgel Capsule,Mitocal-CT Softgel Capsule,Calcitic-CZ Capsule,Shellgel Softgel Capsule,Gemcium Soft Gelatin Capsule,Limited data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Vitamin & mineral deficiency,,,,,,No,VITAMINS MINERALS NUTRIENTS,
3333,azidus 500 mg tablet,Zithrocare 500mg Tablet,Azax 500 Tablet,Zady 500 Tablet,Trulimax 500mg Tablet,Azifast 500 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3334,azolet 50mg tablet,Transimune 50mg Tablet,Azap 50 Tablet,Zesoris-AZ 50mg Tablet,Autorin 50mg Tablet,Azawan Tablet,Decreased white blood cell count,Increased bleeding tendency,Nausea,Infection,Loss of appetite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Prevention of organ rejection in transplant patients,Treatment of Rheumatoid arthritis,,,,"Nucleoside Analog, and Purines",No,ANTI NEOPLASTICS,Immunosuppressant- Purine analogs
3335,axn 500mg tablet,Kamox 500mg Tablet,Zamox 500mg Tablet,Nirmox 500mg Tablet,Optimox 500mg Tablet,Emimox 500mg Tablet,Rash,Vomiting,Allergic reaction,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Aminopenicillins {Penicillins},No,ANTI INFECTIVES,Cell wall active agent -Extended spectrum Penicillin
3336,amoclave  ds  syrup,Cynoclav DS Syrup,Amoxyclav DS Syrup,Satclav DS Syrup,Semox CV Forte Syrup,Moxifide Duo Syrup,Nausea,Vomiting,Abdominal pain,Diarrhea,Allergy,Skin rash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Resistant Tuberculosis (TB),Treatment of Bacterial infections,,,,,No,ANTI INFECTIVES,
3337,atrovin nasal drops,Xylovin Nasal Drops,Xylomet P Nasal Drops,X Aim P 0.05% Nasal Drops,Dolocold Junior Nasal Drops,Ingee P Nasal Drops,Nasal irritation,Dry nose,Nausea,Headache,Burning sensation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Nasal congestion (blocked nose),,,,,Phenylpropane Derivative,No,RESPIRATORY,Sympthatomimmetics- alpha 1 (Nasal)
3338,augpen 300mg injection,Verclav 250 mg/50 mg Injection,Augclav 250 mg/50 mg Injection,Penom Clav 250 mg/50 mg Injection,PD Mox C 250mg/50mg Injection,Clavactum 250 mg/50 mg Injection,Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,,No,ANTI INFECTIVES,
3339,acecloder sp 100mg/325mg/15mg tablet,Vetory SP Tablet,Ibugesic ASP Tablet,Acemiz-S Tablet,Dolokind AA Tablet,Anaflam Xps  Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
3340,azid 250mg tablet,Azicip 250 Tablet,Azikem 250mg Tablet,Fitzee 250 Tablet,Azi Q 250mg Tablet,Azax 250 Tablet,Vomiting,Nausea,Abdominal pain,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Bacterial infections,,,,,Macrolides,No,ANTI INFECTIVES,Macrolides
3341,avert 16 tablet,Vertiford 16mg Tablet,Bhist 16mg Tablet,Betlan 16mg Tablet,Betpure 16 Tablet,Betahub 16mg Tablet,Headache,Indigestion,Nausea,Stomach pain,Bloating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Meniere's disease,,,,,Histamine Analog,No,NEURO CNS,Histamine analog- Meniere's Disease
3342,art eye drop,,,,,,"Application site reactions (burning, irritation, itching and redness)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Dry eyes,,,,,,No,OPHTHAL,
3343,azom 500mg injection,Azotam 500mg Injection,Manvit 500mg Injection,Zonam 500mg Injection,Azvin 500mg Injection,Aztreo 500mg Injection,Rash,"Injection site reactions (pain, swelling, redness)",Vomiting,Nausea,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Severe bacterial infections,,,,,Carbapenems derivative,No,ANTI INFECTIVES,Monobactams
3344,ablu 50mg tablet,Bical 50 Tablet,Castramid Tablet,Cosalon 50mg Tablet,Caluran 50 CP Tablet,Androblok 50mg Tablet,Anemia (low number of red blood cells),Rash,Abdominal pain,Breast enlargement in male,Breast tenderness,Constipation,Decreased appetite,Decreased libido,Depression,Dizziness,Indigestion,Flatulence,Hot flashes,Increased liver enzymes,Nausea,Sleepiness,Weakness,Weight gain,,,,,,,,,,,,,,,,,,,,,,,,, Prostate cancer,,,,,Trifluoromethylbenzenes Derivative,No,ANTI NEOPLASTICS,Androgen receptor antagonist
3345,alde plus tablet,Asozen SR Plus 100mg/325mg/10mg Tablet,Accept-SP Tablet,Combifenac SP 100mg/325mg/10mg Tablet,Aceloflam SP Tablet,Parofen-S Tablet,Nausea,Vomiting,Stomach pain,Indigestion,Heartburn,Loss of appetite,Diarrhea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Pain relief,,,,,,No,PAIN ANALGESICS,
3346,altonil ls 5 tablet,,,,,,Headache,Common cold,Back pain,Joint pain,Drowsiness,Impaired coordination,Depression,Fatigue,Memory impairment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Anxiety disorder,,,,,,Yes,NEURO CNS,
3347,aim7 30mg/15mg/500mg tablet xr,,,,,,Hypoglycemia (low blood glucose level),Dizziness,Headache,Nausea,Vomiting,Diarrhea,Flatulence,Upper respiratory tract infection,Bronchitis (inflammation of the airways),Anemia (low number of red blood cells),Edema (swelling),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Type 2 diabetes mellitus,,,,,,No,ANTI DIABETIC,
3348,amucoe 200 sr tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abevia 200 SR Tablet,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives
3349,alzam 0.5mg tablet,Alprasafe 0.5mg Tablet,Alparazole 0.5mg Tablet,Alprazol 0.5mg Tablet,Texidep 0.5mg Tablet,Zolipax 0.5mg Tablet,Lightheadedness,Drowsiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Anxiety,Treatment of Panic disorder,,,,Benzodiazepines Derivative,Yes,NEURO CNS,Benzodiazepines
3350,afasma-sr tablet,Venphylin-SR Tablet,Uliphyalline 200 SR Tablet,Asmasafe 200mg Tablet SR,Acethama 200 SR Tablet,Abiways 200 SR Tablet,Nausea,Headache,Vomiting,Upset stomach,Restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chronic obstructive pulmonary disease (COPD),,,,,Xanthinic Derivatives,No,RESPIRATORY,Theophylline & its derivatives
3351,axonorm capsule,Ezinerv Plus Capsule,Nurokind-Plus RF Capsule,Neo Medoc AT Capsule,Neuromine-Plus Capsule,Nervgum Capsule,No common side effects seen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Treatment of Vitamin & mineral deficiency,Treatment of Diabetic nerve pain,,,,,No,VITAMINS MINERALS NUTRIENTS,
3352,aldep 10mg tablet,Relidep 10mg Tablet,Amitone 10mg Tablet,Tryp 10mg Tablet,Amitril 10mg Tablet,Odep 10mg Tablet,Constipation,Dryness in mouth,Orthostatic hypotension (sudden lowering of blood pressure on standing),Weight gain,Aggressive behavior,Nasal congestion (stuffy nose),Sleepiness,Dizziness,Headache,Decreased libido,Nausea,Fatigue,Confusion,Tremors,Speech disorder,Palpitations,Taste change,Paresthesia (tingling or pricking sensation),Abnormality of voluntary movements,Loss of accommodation,Atrioventricular block,Micturition disorders,Erectile dysfunction,Abnormal ECG,Decreased sodium level in blood,,,,,,,,,,,,,,,,,,Treatment of Depression, Neuropathic pain,Treatment of Migraine,,,Dibenzocycloheptenes Derivative,No,NEURO CNS,Tricyclic antidepressants
